archive  size       crc          hash        
0        1207       2792719725   902723183   
0        2068       1193255980   2118400303  
0        1988       3646511891   1515822636  
0        7498       2644610334   1447067979  
0        362        1450951084   1810868785  
0        3228       2182336518   -627985837  
0        3998       493791138    1472904069  
0        4451       1342855308   1764223590  
0        1545       120906043    176514360   
0        499        1005618300   1482766171  
0        2508       3178616338   -1719828313 
0        2252       2018109138   119255547   
0        1347       707285418    1923043157  
0        1413       1321358022   -167161517  
0        179        1695448128   -497723308  
0        2076       3220089584   1684685562  
0        5762       3286607886   -1263005246 
0        586        1542663803   -995995444  
0        196        832449397    -1884652399 
0        3686       2740684391   -497144751  
0        3089       59177322     1846353236  
0        3083       1885319582   -1251478851 
0        3082       1366653940   -671550673  
0        366        3305995324   -55040784   
0        582        3765951006   1142429116  
0        672        3745722879   -1631137889 
0        8383       2041214911   -790330298  
0        6352       1980301192   150718273   
0        2991       2335047262   89728280    
0        1232       3294601843   -713498333  
0        849        1716903822   -1347075669 
0        74         2382961111   -1932910145 
0        293        3290036682   -2049208747 
0        5945       3806178614   -1297379413 
0        5906       3278713553   -918007914  
0        2977       3415245092   1530947537  
0        2097       11124856     1846664238  
0        211        167221614    -1585429353 
0        2132       3783213735   1862469251  
0        574        1139865233   -1777401712 
0        668        3867199206   -815086126  
0        1074       1628303898   -1389419728 
0        777        1881323035   -947547780  
0        696        2688197680   585802849   
0        2429       1370478546   1929707415  
0        606        764814027    -283055208  
0        717        2573713438   1240995801  
0        278        345504017    -603186223  
0        2244       37469110     320727362   
0        657        4218443121   480048143   
0        1252       884197807    -1795083382 
0        703        832879491    734101215   
0        723        3983904776   1034331329  
0        3009       1399027641   -206758623  
0        265        182236653    -817432200  
0        277        3701487440   -506970822  
0        2383       730911821    -942687169  
0        695        1641325750   -1016154858 
0        327        2338994305   608574273   
0        1809       2683121839   -1399134783 
0        939        3780246287   178117425   
0        1627       1950185159   1155897817  
0        761        4150119939   -414853308  
0        529        4245217700   1528277745  
0        1073       436177115    1429445451  
0        1301       2098309738   -1889085027 
0        392        1551947159   -1352348208 
0        1592       42742130     1983551924  
0        548        821673946    1466612662  
0        2064       4021193168   35406034    
0        2785       203566853    554476849   
0        1505       3063796734   -1790963982 
0        798        3687676274   377695655   
0        772        3305493629   177833783   
0        1480       2231403550   -1651175821 
0        684        2102799429   -991721678  
0        1088       3931598196   1639586024  
0        480        4229386749   1001295172  
0        241        3287935620   1604706619  
0        940        3087789683   171663401   
0        1213       2917560666   -414781974  
0        469        2089094179   -1279468148 
0        7236       2535577570   986821300   
0        7715       526568961    1087544642  
0        417        796071873    -1406640398 
0        415        2004564370   -1397492645 
0        5493       4158720626   -698413504  
0        8987       851263685    434811051   
0        5963       2404256006   -1970513958 
0        2411       1346472219   -1208123207 
0        1363       1732284739   51454803    
0        2824       4269400983   -357823977  
0        520        1185781900   -1158458802 
0        3888       1013886279   272485523   
0        2632       2568825649   464584614   
0        433        1141373351   -59999640   
0        183        2292146432   35673872    
0        879        2855934937   1051378055  
0        115        2092415238   -1531370817 
0        181        1995021042   980714613   
0        127        2044157792   413981295   
0        152        3266592219   -1357803119 
0        188        1026622442   -2064043308 
0        362        2047050855   1231969162  
0        71         896539536    -246917985  
0        67         783428899    1208367648  
0        164        3238970994   1091998173  
0        749        2675967788   2091310330  
0        202        3375269102   1189636565  
0        67         3741270563   -724423441  
0        63         2719812845   2022447840  
0        85         1743832784   1060880134  
0        244        769394723    1219896698  
0        190        3907526709   431364355   
0        244        1315797738   1329755896  
0        104        1692874826   -485925792  
0        168        2289158251   146740932   
